Scaffold,Active_Count,Inactive_Count,Total_Occurrence,Plot_Index
c1ccc(CN(c2ccccc2)n2cnnc2)cc1,40,0,40,Scaffold 1
c1ccc(-c2cccc(Cn3cncn3)c2)cc1,28,0,28,Scaffold 2
O=S(=O)(NCCc1c(C(c2ccccc2)c2[nH]c3ccccc3c2CCNS(=O)(=O)c2ccccc2)[nH]c2ccccc12)c1ccccc1,2,24,26,Scaffold 3
C(=C(c1ccccc1)c1ccccc1)c1ccccc1,13,11,24,Scaffold 4
O=C1CCC2C1CCC1C3CCCC=C3CCC21,14,7,21,Scaffold 5
O=C1CC(c2ccccc2)Oc2ccccc21,4,17,21,Scaffold 6
O=S(=O)(c1ccccc1)N1CCCC(Cn2ccnc2)C1,20,0,20,Scaffold 7
O=c1cc(Cn2ccnc2)c2ccc(OCc3ccccc3)cc2o1,19,0,19,Scaffold 8
O=C1CCC2C(=CCC3C4CCC(=O)C4CCC23)C1,13,6,19,Scaffold 9
c1ccc(-n2c(Cn3ccnc3)cc3ccccc32)cc1,19,0,19,Scaffold 10
c1ccc(COc2ccccc2)cc1,8,11,19,Scaffold 11
O=C1C=CC2C(=CCC3C2CCC2C(=O)CCC23)C1,14,3,17,Scaffold 12
c1ccc(C(c2ccccc2)n2cncn2)cc1,15,2,17,Scaffold 13
O=C1CCC(c2ccncc2)C(=O)N1,0,15,15,Scaffold 14
O=c1c2ccccc2oc2cccc(Cn3ccnc3)c12,9,5,14,Scaffold 15
c1ccc(CN(c2cccc(-c3ccccc3)c2)n2cnnc2)cc1,14,0,14,Scaffold 16
O=S(=O)(NCc1cccc(CNS(=O)(=O)c2ccccc2)c1)c1ccccc1,7,6,13,Scaffold 17
c1ccc(OCc2cn(C(c3ccccc3)c3ccccc3)nn2)cc1,0,12,12,Scaffold 18
C(=Cc1ccccc1)c1ccccc1,4,8,12,Scaffold 19
c1ccc(C(c2cc3ccccc3o2)n2cncn2)cc1,10,2,12,Scaffold 20
c1ccc(CN(Cc2ccc(-c3ccccc3)cc2)n2ccnc2)cc1,4,8,12,Scaffold 21
c1ccc(-c2csc(-c3ncccn3)n2)cc1,2,10,12,Scaffold 22
c1ccc(Cn2cc(COc3ccccc3)nn2)cc1,0,12,12,Scaffold 23
c1ccc(CC(Cc2ccc(-c3ccccc3)cc2)n2ccnc2)cc1,5,6,11,Scaffold 24
O=C1CCc2cc(C(c3ccccc3)c3ccncc3)cc3c2N1CC3,11,0,11,Scaffold 25
O=C1CCC2C1CCC1C3CCCCC3=CCC21,3,8,11,Scaffold 26
O=c1cc(Cn2ccnc2)c2ccc(Oc3ccccc3)cc2o1,11,0,11,Scaffold 27
